Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2015-03-13,The Theory of Everything,2014,https://letterboxd.com/malantonio/film/the-theory-of-everything-2014/,4,"dvd, library",2015-03-12
2015-03-15,Enough Said,2013,https://letterboxd.com/malantonio/film/enough-said/,4,"streaming, netflix",2015-03-14
2015-03-20,Run All Night,2015,https://letterboxd.com/malantonio/film/run-all-night/,2.5,"digital, theater",2015-03-19
2015-03-21,Life Itself,2014,https://letterboxd.com/malantonio/film/life-itself/,4,"streaming, netflix",2015-03-20
2015-03-22,Taxi Driver,1976,https://letterboxd.com/malantonio/film/taxi-driver/,4.5,"streaming, netflix",2015-03-21
2015-03-27,The Thin Blue Line,1988,https://letterboxd.com/malantonio/film/the-thin-blue-line/,3,,2015-03-26
2015-03-28,No No: A Dockumentary,2014,https://letterboxd.com/malantonio/film/no-no-a-dockumentary/,4,download,2015-03-27
2015-03-31,Going Clear: Scientology and the Prison of Belief,2015,https://letterboxd.com/malantonio/film/going-clear-scientology-and-the-prison-of-belief/,4,"streaming, hbo",2015-03-30
2015-04-03,Interstellar,2014,https://letterboxd.com/malantonio/film/interstellar/,4,download,2015-04-02
2015-04-04,Atari: Game Over,2014,https://letterboxd.com/malantonio/film/atari-game-over/,3.5,"streaming, netflix",2015-04-02
2015-04-04,The Master,2012,https://letterboxd.com/malantonio/film/the-master-2012/,4,"streaming, netflix",2015-04-03
2015-04-04,Restless Virgins,2013,https://letterboxd.com/malantonio/film/restless-virgins/,2.5,,2015-04-03
2015-04-04,Showgirls,1995,https://letterboxd.com/malantonio/film/showgirls/,3,"streaming, netflix",2015-04-03
2015-04-05,Free Angela and All Political Prisoners,2012,https://letterboxd.com/malantonio/film/free-angela-and-all-political-prisoners/,4,download,2015-04-04
2015-04-06,Saving Grace,2000,https://letterboxd.com/malantonio/film/saving-grace/,4,"streaming, netflix",2015-04-05
2015-04-07,Furious 7,2015,https://letterboxd.com/malantonio/film/furious-7/,3,,2015-04-06
2015-04-11,Cobra,1986,https://letterboxd.com/malantonio/film/cobra-1986/,4,vhs,2015-04-10
2015-04-14,Inherent Vice,2014,https://letterboxd.com/malantonio/film/inherent-vice/,4,download,2015-04-13
2015-04-26,Foxcatcher,2014,https://letterboxd.com/malantonio/film/foxcatcher/,4,"blu-ray, redbox",2015-04-25
2015-05-06,Cobain: Montage of Heck,2015,https://letterboxd.com/malantonio/film/cobain-montage-of-heck/,4.5,"hbo, streaming",2015-05-05
2015-05-09,Big Eyes,2014,https://letterboxd.com/malantonio/film/big-eyes/,4,"streaming, hbo",2015-05-07
2015-05-09,Dragon Wars: D-War,2007,https://letterboxd.com/malantonio/film/dragon-wars-d-war/,2,dvd,2015-05-08
2015-05-11,Dante's Inferno: An Animated Epic,2010,https://letterboxd.com/malantonio/film/dantes-inferno-an-animated-epic/,4,dvd,2015-05-10
2015-05-12,Nightcrawler,2014,https://letterboxd.com/malantonio/film/nightcrawler/,4,dvd,2015-05-11
2015-05-14,Dirty Girls,2000,https://letterboxd.com/malantonio/film/dirty-girls/,5,"streaming, youtube",2015-05-13
2015-05-16,Repo Man,1984,https://letterboxd.com/malantonio/film/repo-man/,5,"35mm, theater",2015-05-15
2015-05-19,All Good Things,2010,https://letterboxd.com/malantonio/film/all-good-things/,3.5,"hbo, streaming",2015-05-18
2015-05-22,Beyond Clueless,2014,https://letterboxd.com/malantonio/film/beyond-clueless/,3.5,"netflix, streaming",2015-05-21
2015-05-23,Disturbing Behavior,1998,https://letterboxd.com/malantonio/film/disturbing-behavior/,3,"netflix, streaming",2015-05-22
2015-05-23,Ginger Snaps,2000,https://letterboxd.com/malantonio/film/ginger-snaps/,4,"Hulu, streaming",2015-05-22
2015-05-26,This Is Where I Leave You,2014,https://letterboxd.com/malantonio/film/this-is-where-i-leave-you/,3,"hbo, streaming",2015-05-25
2015-05-26,Cleveland Abduction,2015,https://letterboxd.com/malantonio/film/cleveland-abduction/,3.5,"lifetime, streaming",2015-05-25
2015-05-29,Cobain: Montage of Heck,2015,https://letterboxd.com/malantonio/film/cobain-montage-of-heck/1/,4,"hbo, streaming",2015-05-28
2015-06-29,Blow-Up,1966,https://letterboxd.com/malantonio/film/blow-up/,4.5,theater,2015-06-28
2015-06-29,Blow Out,1981,https://letterboxd.com/malantonio/film/blow-out/,3.5,digital,2015-06-28
2015-06-29,It Follows,2014,https://letterboxd.com/malantonio/film/it-follows/,4,download,2015-06-28
2015-07-11,Fatal Honeymoon,2012,https://letterboxd.com/malantonio/film/fatal-honeymoon/,3,"netflix, streaming",2015-07-10
2015-07-15,Night Will Fall,2014,https://letterboxd.com/malantonio/film/night-will-fall/,4,"streaming, hbo",2015-07-14
2015-07-20,Trainwreck,2015,https://letterboxd.com/malantonio/film/trainwreck/,4,"digital, theater",2015-07-19
2015-07-20,Tig,2015,https://letterboxd.com/malantonio/film/tig/,5,"netflix, streaming",2015-07-19
2015-07-20,Todd Barry: The Crowd Work Tour,2014,,5,"netflix, streaming",2015-07-19
2015-08-23,Revolution '67,2007,https://letterboxd.com/malantonio/film/revolution-67/,3,dvd,2015-08-22
2015-08-23,Finding Vivian Maier,2013,https://letterboxd.com/malantonio/film/finding-vivian-maier/,4,"download, digital",2015-08-23
2015-10-11,A Nightmare on Elm Street,1984,https://letterboxd.com/malantonio/film/a-nightmare-on-elm-street/1/,3.5,,2015-08-30
2015-09-06,Black Sunday,1960,https://letterboxd.com/malantonio/film/black-sunday-1960/,3.5,"35mm, theater",2015-09-06
2015-09-06,Demons 2,1986,https://letterboxd.com/malantonio/film/demons-2/,4,"35mm, theater",2015-09-06
2015-09-06,A Bay of Blood,1971,https://letterboxd.com/malantonio/film/a-bay-of-blood/,3,"35mm, theater",2015-09-06
2015-09-06,Hell of the Living Dead,1980,https://letterboxd.com/malantonio/film/hell-of-the-living-dead/,2.5,"35mm, theater",2015-09-06
2015-09-06,The House by the Cemetery,1981,https://letterboxd.com/malantonio/film/the-house-by-the-cemetery/,4,"35mm, theater",2015-09-06
2015-09-12,Preservation,2014,https://letterboxd.com/malantonio/film/preservation/,3,netflix,2015-09-11
2015-09-13,Troll 2,1990,https://letterboxd.com/malantonio/film/troll-2/,3.5,dvd,2015-09-11
2015-09-13,The Sacrament,2013,https://letterboxd.com/malantonio/film/the-sacrament/,3.5,netflix,2015-09-12
2015-09-13,Best Worst Movie,2009,https://letterboxd.com/malantonio/film/best-worst-movie/,3.5,"download, streaming",2015-09-12
2015-09-14,White Bird in a Blizzard,2014,https://letterboxd.com/malantonio/film/white-bird-in-a-blizzard/,4,"netflix, lifetime",2015-09-13
2015-09-19,Citizenfour,2014,https://letterboxd.com/malantonio/film/citizenfour/,5,"streaming, hbo",2015-09-18
2015-09-20,True Story,2015,https://letterboxd.com/malantonio/film/true-story/,3.5,"dvd, redbox",2015-09-19
2015-09-22,Inauguration of the Pleasure Dome,1954,https://letterboxd.com/malantonio/film/inauguration-of-the-pleasure-dome/,3.5,dvd,2015-09-21
2015-09-23,The Cowboy and the Frenchman,1988,https://letterboxd.com/malantonio/film/the-cowboy-and-the-frenchman/,4,dvd,2015-09-21
2015-09-23,Premonitions Following an Evil Deed,1995,https://letterboxd.com/malantonio/film/premonitions-following-an-evil-deed/,4.5,dvd,2015-09-21
2015-09-27,A Spell to Ward Off the Darkness,2013,https://letterboxd.com/malantonio/film/a-spell-to-ward-off-the-darkness/,4,"streaming, amazon, rental",2015-09-26
2015-09-28,Ungodly Acts,2015,https://letterboxd.com/malantonio/film/ungodly-acts/,1.5,"lifetime, streaming",2015-09-27
2015-10-02,Begotten,1990,https://letterboxd.com/malantonio/film/begotten/,3.5,download,2015-10-01
2015-10-03,Eaten Alive,1976,https://letterboxd.com/malantonio/film/eaten-alive/,3,download,2015-10-02
2015-10-06,The Others,2001,https://letterboxd.com/malantonio/film/the-others/,3.5,"netflix, streaming",2015-10-05
2015-10-10,Halloween,1978,https://letterboxd.com/malantonio/film/halloween-1978/,4,dvd,2015-10-09
2015-10-10,Halloween II,1981,https://letterboxd.com/malantonio/film/halloween-ii-1981/,3.5,download,2015-10-09
2015-10-10,Secrets in the Walls,2010,https://letterboxd.com/malantonio/film/secrets-in-the-walls/,3,"lifetime, streaming",2015-10-09
2015-10-11,A Nightmare on Elm Street,1984,https://letterboxd.com/malantonio/film/a-nightmare-on-elm-street/,3.5,"digital, theater",2015-10-11
2015-10-14,Halloween 4: The Return of Michael Myers,1988,https://letterboxd.com/malantonio/film/halloween-4-the-return-of-michael-myers/,3.5,download,2015-10-13
2015-10-16,Dante's Peak,1997,https://letterboxd.com/malantonio/film/dantes-peak/,3.5,vhs,2015-10-15
2015-10-17,When a Stranger Calls,1979,https://letterboxd.com/malantonio/film/when-a-stranger-calls/,3.5,blu-ray,2015-10-16
2015-10-20,The Return of the Living Dead,1985,https://letterboxd.com/malantonio/film/the-return-of-the-living-dead/,3.5,blu-ray,2015-10-19
2015-10-25,"As Above, So Below",2014,https://letterboxd.com/malantonio/film/as-above-so-below-2014/,3.5,download,2015-10-24
2015-10-31,House of 1000 Corpses,2003,https://letterboxd.com/malantonio/film/house-of-1000-corpses/,2.5,download,2015-10-30
2015-10-31,The Devil's Rejects,2005,https://letterboxd.com/malantonio/film/the-devils-rejects/,3,download,2015-10-30
2015-10-31,The Nightmare,2015,https://letterboxd.com/malantonio/film/the-nightmare-2015/,4,netflix,2015-10-30
2015-11-01,Friday the 13th Part 2,1981,https://letterboxd.com/malantonio/film/friday-the-13th-part-2/,4,dvd,2015-10-31
2015-11-01,Friday the 13th Part III,1982,https://letterboxd.com/malantonio/film/friday-the-13th-part-iii/1/,3.5,dvd,2015-10-31
2015-11-02,Misery Loves Comedy,2015,https://letterboxd.com/malantonio/film/misery-loves-comedy/,4,"amazon, streaming",2015-11-01
2015-11-14,Friday the 13th Part VI: Jason Lives,1986,https://letterboxd.com/malantonio/film/friday-the-13th-part-vi-jason-lives/,2,DVD,2015-11-13
2015-11-21,Goodnight Mommy,2014,https://letterboxd.com/malantonio/film/goodnight-mommy/,4,download,2015-11-20
2015-11-22,Blade Runner,1982,https://letterboxd.com/malantonio/film/blade-runner/,4,"blu-ray, us theatrical cut",2015-11-21
2015-11-26,Pure Country,1992,https://letterboxd.com/malantonio/film/pure-country/,2.5,"streaming, feeln",2015-11-25
2015-12-07,Everybody's Fine,2009,https://letterboxd.com/malantonio/film/everybodys-fine-2009/,3,"streaming, feeln",2015-12-06
2015-12-08,Point Blank,1967,https://letterboxd.com/malantonio/film/point-blank/,4,"dvd, library",2015-12-07
2015-12-12,In a Lonely Place,1950,https://letterboxd.com/malantonio/film/in-a-lonely-place/,3.5,"dvd, film noir",2015-12-11
2015-12-12,Die Hard,1988,https://letterboxd.com/malantonio/film/die-hard/,5,dvd,2015-12-11
2015-12-14,Krampus,2015,https://letterboxd.com/malantonio/film/krampus/,3,"digital, theater",2015-12-13
2015-12-19,Eyes Wide Shut,1999,https://letterboxd.com/malantonio/film/eyes-wide-shut/,4.5,"netflix, streaming",2015-12-18
2015-12-19,A Dog Named Christmas,2009,https://letterboxd.com/malantonio/film/a-dog-named-christmas/,3,"feeln, streaming",2015-12-18
2015-12-20,Beyond the Darkness,1979,https://letterboxd.com/malantonio/film/beyond-the-darkness/,3,download,2015-12-19
2015-12-22,Star Wars: The Force Awakens,2015,https://letterboxd.com/malantonio/film/star-wars-the-force-awakens/,4,"digital, theater",2015-12-21
2015-12-30,An Unreal Dream: The Michael Morton Story,2013,https://letterboxd.com/malantonio/film/an-unreal-dream-the-michael-morton-story/,3,"netflix, streaming",2015-12-29
